lat,lng,height
42.38196,-79.21452,508.37
42.39377,-79.21597,455.37
42.41824,-79.24577,476.80
42.41285,-79.22390,449.17
42.39099,-79.22418,507.22
42.41490,-79.24450,479.67
42.40400,-79.24220,473.12
42.42524,-79.25908,442.04
42.38187,-79.20575,490.94
42.41770,-79.25030,465.62
42.42343,-79.25061,456.56
42.39781,-79.23146,502.88
42.41372,-79.22898,463.42
42.39070,-79.21744,476.32
42.38207,-79.20978,498.16
42.41634,-79.22332,438.77
42.38870,-79.22217,517.91
42.37814,-79.19404,472.96
42.37939,-79.19736,478.91
42.42740,-79.22976,431.76
42.41058,-79.22126,442.15
42.42469,-79.25518,455.42
42.39522,-79.23029,504.32
42.43126,-79.25965,377.61
42.40845,-79.21867,428.19
42.41072,-79.23119,484.57
42.43060,-79.25240,409.76
42.38646,-79.21964,514.02
42.43020,-79.23280,420.72
42.42799,-79.25915,406.28
42.42875,-79.24846,443.10
42.42758,-79.24503,459.12
42.42048,-79.25068,462.04
42.41769,-79.22701,451.67
42.39509,-79.22189,489.82
42.39395,-79.24160,486.31
42.39187,-79.14872,465.28
42.40749,-79.16853,455.30
42.42880,-79.12600,453.24
42.41099,-79.17003,440.98
42.41772,-79.13766,465.96
42.38945,-79.14557,458.95
42.41290,-79.13529,465.88
42.39711,-79.15090,452.74
42.39795,-79.11997,465.31
42.40136,-79.15469,453.69
42.39565,-79.10095,477.39
42.40313,-79.10632,482.88
42.39959,-79.10492,487.06
42.40808,-79.14906,449.89
42.44078,-79.11107,407.18
42.42197,-79.14116,471.36
42.44794,-79.12367,405.56
42.38550,-79.14101,463.72
42.43076,-79.11773,453.22
42.40324,-79.12270,482.05
42.43317,-79.13369,455.72
42.45112,-79.13205,401.09
42.37907,-79.13969,453.63
42.40936,-79.11037,466.05
42.39903,-79.14139,438.63
42.47844,-77.54911,602.29
42.45420,-77.54102,594.57
42.45652,-77.52343,539.71
42.50448,-77.52970,560.86
42.46149,-77.53365,595.07
42.48425,-77.52982,560.93
42.45705,-77.51619,518.21
42.48731,-77.55095,589.06
42.45847,-77.55983,560.93
42.47650,-77.51514,551.41
42.50288,-77.53809,591.45
42.44568,-77.58915,566.47
42.46916,-77.50125,518.10
42.47038,-77.51271,581.91
42.48072,-77.51220,541.07
42.46617,-77.50060,540.12
42.50765,-77.52721,523.93
42.50728,-77.54898,602.97
42.46257,-77.50255,538.90
42.48269,-77.54897,601.17
42.50459,-77.52092,527.40
42.46122,-77.55861,538.98
42.46264,-77.54327,592.57
42.47755,-77.50678,516.14
42.48857,-77.54291,581.50
42.43930,-77.59319,583.66
42.46609,-77.53805,606.60
42.48097,-77.53469,603.35
42.47475,-77.54903,608.06
42.47307,-77.54131,608.79
42.45831,-77.54337,593.71
42.47700,-77.53844,596.18
42.10068,-75.52723,527.58
42.08296,-75.56033,528.91
42.09180,-75.45205,537.44
42.10311,-75.45667,561.08
42.06958,-75.56133,519.79
42.09829,-75.46035,519.36
42.11169,-75.46413,537.84
42.10108,-75.54430,507.26
42.10390,-75.50745,577.93
42.10191,-75.51227,553.58
42.08195,-75.56590,530.07
42.10935,-75.51063,571.90
42.09802,-75.46714,554.45
42.09592,-75.45226,552.72
42.07394,-75.53858,496.66
42.07174,-75.52216,501.06
42.10459,-75.53020,530.73
42.10518,-75.55197,529.39
42.08846,-75.46849,514.97
42.09295,-75.48906,519.93
42.10904,-75.53357,499.18
