lat,lng,height
40.70756,-88.67245,190.53
40.70731,-88.65344,190.77
40.67789,-88.68404,198.43
40.69273,-88.68607,194.90
40.67139,-88.64548,197.51
40.64332,-88.63885,198.77
40.69433,-88.66354,190.87
40.65806,-88.63496,203.15
40.67771,-88.70712,205.40
40.64386,-88.62183,211.48
40.65807,-88.64108,204.25
40.73321,-88.65855,184.50
40.63360,-88.62940,197.41
40.70759,-88.66612,191.50
40.64329,-88.63435,203.28
40.71725,-88.68678,190.30
40.70696,-88.70090,190.16
40.73376,-88.64964,181.42
40.64324,-88.61646,210.66
40.69255,-88.70589,196.91
40.69008,-88.72456,199.10
40.68815,-88.65344,193.94
40.62621,-88.64043,196.34
40.70721,-88.69588,192.33
40.69494,-88.65745,191.08
40.71729,-88.68169,189.55
40.64358,-88.64867,200.32
40.70693,-88.70547,190.83
40.67773,-88.71228,203.78
40.74028,-88.63863,178.01
40.63341,-88.63429,196.69
40.67151,-88.66219,200.49
40.67124,-88.65237,199.59
40.65826,-88.62987,202.88
40.64348,-88.62723,206.82
40.74475,-88.64423,178.03
40.70273,-88.68150,191.93
40.69631,-88.68925,194.22
40.63395,-88.62028,199.10
40.70726,-88.69074,189.68
40.67154,-88.63284,198.12
40.62612,-88.63428,192.98
40.67800,-88.67638,198.38
40.67778,-88.70055,204.26
40.63365,-88.61536,204.37
40.71127,-88.65807,189.68
40.73671,-88.63435,178.66
40.62628,-88.64668,195.12
40.67783,-88.69267,202.61
40.71736,-88.67573,190.69
40.71745,-88.66911,187.20
40.68868,-88.71094,200.03
40.67119,-88.65733,199.72
40.68788,-88.66650,192.75
40.63344,-88.63930,194.10
40.69259,-88.70116,195.82
40.71753,-88.66276,188.63
34.40207,-101.28263,960.76
34.35455,-101.32228,965.61
34.39344,-101.27021,958.05
36.45162,-97.62408,310.09
34.38023,-101.32299,967.32
34.38163,-101.32644,967.94
34.35858,-101.30212,961.67
34.34203,-101.31807,967.49
36.44613,-97.62022,310.86
36.44188,-97.66908,328.10
34.35645,-101.29755,961.79
36.44705,-97.68864,332.63
34.34271,-101.32179,967.34
34.40253,-101.32231,969.95
34.37279,-101.30473,960.19
36.45070,-97.63284,306.03
34.38992,-101.26911,958.04
34.33249,-101.32551,968.97
34.35080,-101.28373,956.97
34.38778,-101.26680,956.56
34.39877,-101.32117,966.51
34.40102,-101.33778,964.51
34.37108,-101.33613,968.47
34.38268,-101.28583,959.46
34.32803,-101.33574,969.20
34.36897,-101.32760,965.97
34.36888,-101.29926,961.03
34.40413,-101.32555,968.00
34.33120,-101.32245,968.70
34.39327,-101.29684,965.11
34.32332,-101.32554,966.73
34.36459,-101.32187,966.02
34.39969,-101.30576,968.22
34.32137,-101.31902,968.14
34.40099,-101.27928,958.53
34.35416,-101.29313,960.34
34.37880,-101.31957,966.44
34.39856,-101.27481,956.72
34.41980,-101.30767,966.14
34.39739,-101.30276,967.29
34.36718,-101.29620,959.41
34.35455,-101.32659,965.33
39.87780,-87.94920,180.60
34.40424,-101.28902,961.90
36.44523,-97.73452,338.29
34.39600,-101.27248,957.48
34.40313,-101.28582,961.34
34.40171,-101.30883,969.06
34.32997,-101.31633,968.75
36.44956,-97.62734,310.58
34.32584,-101.33238,966.76
44.41849,-96.48799,555.93
44.44989,-96.48839,561.09
44.41279,-96.47229,561.42
44.43279,-96.46849,557.79
44.43189,-96.48459,561.41
44.39519,-96.47649,552.21
44.38539,-96.48129,552.17
44.42489,-96.48099,563.26
44.38579,-96.48879,550.04
44.41449,-96.46289,563.73
44.43309,-96.45919,558.95
34.40376,-101.34036,970.55
44.44689,-96.48189,565.29
44.41289,-96.47669,558.61
44.38829,-96.46949,560.86
44.43869,-96.49439,559.43
44.41909,-96.49489,551.93
44.44879,-96.49449,557.67
44.43289,-96.47789,558.70
44.43929,-96.46879,562.05
39.87691,-88.03060,173.97
44.44679,-96.47659,566.85
34.39420,-101.33413,961.66
44.41729,-96.48219,560.29
44.42519,-96.46979,565.69
34.38951,-101.29261,961.96
39.87075,-88.06342,170.98
34.38042,-101.33233,968.80
34.38316,-101.30984,965.44
34.38296,-101.33481,968.53
34.34345,-101.32549,967.16
34.33125,-101.33958,964.29
34.39621,-101.31810,972.60
34.38083,-101.28266,959.08
34.38567,-101.33746,968.79
39.84119,-88.03052,185.39
34.34175,-101.29988,963.25
34.36547,-101.29309,958.07
34.36700,-101.32449,965.67
34.41783,-101.30492,965.84
34.41264,-101.32007,968.65
36.45812,-97.69960,336.75
34.41587,-101.30222,965.03
34.35241,-101.31429,963.77
39.84130,-88.01637,186.81
39.83104,-88.00581,169.99
34.34150,-101.31439,967.51
39.87769,-87.97594,176.60
34.37378,-101.30801,961.25
39.86068,-87.99675,179.05
34.34497,-101.30756,965.37
39.86634,-87.95895,187.00
39.82585,-88.02552,169.81
39.85244,-87.96037,167.00
39.85774,-88.00687,179.66
39.87764,-88.02132,175.09
34.41402,-101.29957,963.26
34.38106,-101.30710,964.48
39.86826,-87.94449,181.99
39.85592,-88.03696,176.04
34.39365,-101.31590,971.32
39.86326,-87.97004,176.70
34.32087,-101.31433,967.77
39.85470,-87.95389,169.98
39.87234,-88.05904,171.81
39.87777,-87.96278,178.56
39.85589,-88.01650,179.27
34.34330,-101.30364,964.88
39.85594,-88.04942,175.78
39.84126,-88.03512,184.38
39.87692,-88.03532,173.77
39.87006,-88.00433,173.01
39.84861,-87.97895,166.54
34.41410,-101.32334,968.74
34.41488,-101.32683,968.76
39.82434,-88.03143,171.73
44.40759,-96.48279,542.00
44.41829,-96.49979,541.71
26.50955,-97.74715,-15.52
26.50800,-97.75104,-15.76
43.71287,-98.92312,492.59
26.53904,-97.74714,-16.64
